global_step,mean_reward,mean_kl,kl_coef,elapsed_sec,loss,pg_loss,vf_loss,kl
160,-4.205078125,0.36706542782485485,0.25312500000000004,21.711931943893433,0.08788567897863686,-0.05503308563493192,0.809539794921875,0.36706542782485485
168,-2.9423828125,0.4089896194636822,0.37968750000000007,21.84738063812256,0.1078634774312377,-0.07194452919065952,0.76287841796875,0.4089896194636822
176,-3.15771484375,0.6212873831391335,0.56953125,21.78855061531067,0.2443127417936921,-0.06380977528169751,0.72210693359375,0.6212873831391335
184,-2.708984375,0.7484414242208004,0.8542968750000001,21.835392951965332,0.4945949036628008,-0.051607588306069374,1.1995391845703125,0.7484414242208004
192,-2.47998046875,-0.502672303467989,0.56953125,21.725465774536133,-0.22247546166181564,0.1296586850658059,0.77337646484375,-0.502672303467989
200,-3.736328125,-3.1797927413135767,0.3796875,21.792073249816895,-1.565145398490131,0.14870709110982716,0.9712505340576172,-3.1797927413135767
208,-3.783203125,4.00801208615303,0.56953125,21.888639450073242,1.5962216071784496,-0.01623338647186756,0.9065704345703125,4.00801208615303
216,-3.421875,-16.79532089829445,0.3796875,21.83021855354309,-9.310976719483733,0.18794944306685546,0.6651763916015625,-16.79532089829445
224,-3.421875,-2.567151501774788,0.253125,22.0226993560791,-0.755175281316042,0.11996117606759071,0.99578857421875,-2.567151501774788
232,-3.1845703125,-10.355652689933777,0.16874999999999998,22.047770738601685,-2.316877529025078,0.20214800117302165,1.0224609375,-10.355652689933777
240,-0.99951171875,4.713912904262543,0.253125,21.583336353302002,0.8772007804363966,-1.6763806343078613e-08,0.8173675537109375,4.713912904262543
248,-0.94775390625,5.0804595947265625,0.37968749999999996,21.907081127166748,1.3757054433226585,1.6763806343078613e-08,0.89697265625,5.0804595947265625
256,-0.9482421875,4.9915771484375,0.5695312499999999,21.342360496520996,1.983443759381771,1.862645149230957e-09,0.8818435668945312,4.9915771484375
264,-1.1455078125,4.567070007324219,0.854296875,21.400110960006714,2.6855274736881256,-3.725290298461914e-09,0.84368896484375,4.567070007324219
272,-1.16259765625,4.7896881103515625,1.0,21.057345390319824,4.178309977054596,-9.313225746154785e-10,0.864715576171875,4.7896881103515625
280,-0.9990234375,4.6873779296875,1.0,21.342804193496704,4.763862684369087,1.30385160446167e-08,0.764495849609375,4.6873779296875
288,-1.17822265625,4.6944580078125,1.0,21.44220495223999,4.787997215986252,-3.725290298461914e-09,0.9344863891601562,4.6944580078125
296,-1.12109375,4.974143981933594,1.0,21.736124992370605,5.061221599578857,9.313225746154785e-10,0.8712978363037109,4.974143981933594
304,-1.0576171875,4.9503021240234375,1.0,21.27639389038086,5.0429743230342865,4.6566128730773926e-09,0.926875114440918,4.9503021240234375
312,-0.982421875,4.746002197265625,1.0,21.652032375335693,4.827224791049957,-3.725290298461914e-09,0.8126220703125,4.746002197265625
320,-0.897705078125,4.65301513671875,1.0,20.917577505111694,4.737960711121559,-1.1175870895385742e-08,0.84869384765625,4.65301513671875
328,-1.05419921875,4.5479888916015625,1.0,21.458998680114746,4.638145446777344,-3.725290298461914e-09,0.90118408203125,4.5479888916015625
336,-1.21484375,4.767059326171875,1.0,21.478713989257812,4.852362617850304,1.1175870895385742e-08,0.8531227111816406,4.767059326171875
344,-1.06591796875,4.900032043457031,1.0,21.43127942085266,4.989684104919434,-3.958120942115784e-09,0.8967819213867188,4.900032043457031
352,-1.15283203125,4.8647003173828125,1.0,21.385032653808594,4.9588165283203125,9.313225746154785e-09,0.942138671875,4.8647003173828125
360,-1.004638671875,4.9285888671875,1.0,21.462932109832764,5.018415421247482,5.587935447692871e-09,0.8982086181640625,4.9285888671875
